,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
442,0,3,male,25.0,1,0,347076,7.775,S
443,1,2,female,28.0,0,0,230434,13.0,S
445,1,1,male,4.0,0,2,33638,81.8583,S
446,1,2,female,13.0,0,1,250644,19.5,S
447,1,1,male,34.0,0,0,113794,26.55,S
448,1,3,female,5.0,2,1,2666,19.2583,C
449,1,1,male,52.0,0,0,113786,30.5,S
450,0,2,male,36.0,1,2,C.A. 34651,27.75,S
452,0,1,male,30.0,0,0,113051,27.75,C
453,1,1,male,49.0,1,0,17453,89.1042,C
455,1,3,male,29.0,0,0,349240,7.8958,C
456,0,1,male,65.0,0,0,13509,26.55,S
458,1,2,female,50.0,0,0,F.C.C. 13531,10.5,S
460,1,1,male,48.0,0,0,19952,26.55,S
461,0,3,male,34.0,0,0,364506,8.05,S
462,0,1,male,47.0,0,0,111320,38.5,S
463,0,2,male,48.0,0,0,234360,13.0,S
465,0,3,male,38.0,0,0,SOTON/O.Q. 3101306,7.05,S
467,0,1,male,56.0,0,0,113792,26.55,S
469,1,3,female,0.75,2,1,2666,19.2583,C
471,0,3,male,38.0,0,0,315089,8.6625,S
472,1,2,female,33.0,1,2,C.A. 34651,27.75,S
473,1,2,female,23.0,0,0,SC/AH Basle 541,13.7917,C
474,0,3,female,22.0,0,0,7553,9.8375,S
476,0,2,male,34.0,1,0,31027,21.0,S
477,0,3,male,29.0,1,0,3460,7.0458,S
478,0,3,male,22.0,0,0,350060,7.5208,S
479,1,3,female,2.0,0,1,3101298,12.2875,S
480,0,3,male,9.0,5,2,CA 2144,46.9,S
482,0,3,male,50.0,0,0,A/5 3594,8.05,S
483,1,3,female,63.0,0,0,4134,9.5875,S
484,1,1,male,25.0,1,0,11967,91.0792,C
486,1,1,female,35.0,1,0,19943,90.0,S
487,0,1,male,58.0,0,0,11771,29.7,C
488,0,3,male,30.0,0,0,A.5. 18509,8.05,S
489,1,3,male,9.0,1,1,C.A. 37671,15.9,S
491,0,3,male,21.0,0,0,SOTON/OQ 3101317,7.25,S
492,0,1,male,55.0,0,0,113787,30.5,S
493,0,1,male,71.0,0,0,PC 17609,49.5042,C
494,0,3,male,21.0,0,0,A/4 45380,8.05,S
496,1,1,female,54.0,1,0,36947,78.2667,C
498,0,1,female,25.0,1,2,113781,151.55,S
499,0,3,male,24.0,0,0,350035,7.7958,S
500,0,3,male,17.0,0,0,315086,8.6625,S
501,0,3,female,21.0,0,0,364846,7.75,Q
503,0,3,female,37.0,0,0,4135,9.5875,S
504,1,1,female,16.0,0,0,110152,86.5,S
505,0,1,male,18.0,1,0,PC 17758,108.9,C
506,1,2,female,33.0,0,2,26360,26.0,S
508,0,3,male,28.0,0,0,C 4001,22.525,S
509,1,3,male,26.0,0,0,1601,56.4958,S
510,1,3,male,29.0,0,0,382651,7.75,Q
512,1,1,male,36.0,0,0,PC 17473,26.2875,S
513,1,1,female,54.0,1,0,PC 17603,59.4,C
514,0,3,male,24.0,0,0,349209,7.4958,S
515,0,1,male,47.0,0,0,36967,34.0208,S
516,1,2,female,34.0,0,0,C.A. 34260,10.5,S
518,1,2,female,36.0,1,0,226875,26.0,S
519,0,3,male,32.0,0,0,349242,7.8958,S
520,1,1,female,30.0,0,0,12749,93.5,S
521,0,3,male,22.0,0,0,349252,7.8958,S
523,1,1,female,44.0,0,1,111361,57.9792,C
525,0,3,male,40.5,0,0,367232,7.75,Q
526,1,2,female,50.0,0,0,W./C. 14258,10.5,S
528,0,3,male,39.0,0,0,3101296,7.925,S
529,0,2,male,23.0,2,1,29104,11.5,S
530,1,2,female,2.0,1,1,26360,26.0,S
532,0,3,male,17.0,1,1,2690,7.2292,C
534,0,3,female,30.0,0,0,315084,8.6625,S
535,1,2,female,7.0,0,2,F.C.C. 13529,26.25,S
536,0,1,male,45.0,0,0,113050,26.55,S
537,1,1,female,30.0,0,0,PC 17761,106.425,C
539,1,1,female,22.0,0,2,13568,49.5,C
540,1,1,female,36.0,0,2,WE/P 5735,71.0,S
541,0,3,female,9.0,4,2,347082,31.275,S
542,0,3,female,11.0,4,2,347082,31.275,S
543,1,2,male,32.0,1,0,2908,26.0,S
544,0,1,male,50.0,1,0,PC 17761,106.425,C
545,0,1,male,64.0,0,0,693,26.0,S
546,1,2,female,19.0,1,0,2908,26.0,S
548,0,3,male,33.0,1,1,363291,20.525,S
549,1,2,male,8.0,1,1,C.A. 33112,36.75,S
550,1,1,male,17.0,0,2,17421,110.8833,C
551,0,2,male,27.0,0,0,244358,26.0,S
553,1,3,male,22.0,0,0,2620,7.225,C
554,1,3,female,22.0,0,0,347085,7.775,S
555,0,1,male,62.0,0,0,113807,26.55,S
556,1,1,female,48.0,1,0,11755,39.6,C
558,1,1,female,39.0,1,1,110413,79.65,S
559,1,3,female,36.0,1,0,345572,17.4,S
561,0,3,male,40.0,0,0,349251,7.8958,S
562,0,2,male,28.0,0,0,218629,13.5,S
565,0,3,male,24.0,2,0,A/4 48871,24.15,S
566,0,3,male,19.0,0,0,349205,7.8958,S
567,0,3,female,29.0,0,4,349909,21.075,S
569,1,3,male,32.0,0,0,350417,7.8542,S
570,1,2,male,62.0,0,0,S.W./PP 752,10.5,S
571,1,1,female,53.0,2,0,11769,51.4792,S
572,1,1,male,36.0,0,0,PC 17474,26.3875,S
574,0,3,male,16.0,0,0,A/4. 20589,8.05,S
575,0,3,male,19.0,0,0,358585,14.5,S
576,1,2,female,34.0,0,0,243880,13.0,S
577,1,1,female,39.0,1,0,13507,55.9,S
579,1,3,male,32.0,0,0,STON/O 2. 3101286,7.925,S
580,1,2,female,25.0,1,1,237789,30.0,S
581,1,1,female,39.0,1,1,17421,110.8833,C
582,0,2,male,54.0,0,0,28403,26.0,S
583,0,1,male,36.0,0,0,13049,40.125,C
585,1,1,female,18.0,0,2,110413,79.65,S
586,0,2,male,47.0,0,0,237565,15.0,S
587,1,1,male,60.0,1,1,13567,79.2,C
588,0,3,male,22.0,0,0,14973,8.05,S
590,0,3,male,35.0,0,0,STON/O 2. 3101273,7.125,S
591,1,1,female,52.0,1,0,36947,78.2667,C
592,0,3,male,47.0,0,0,A/5 3902,7.25,S
594,0,2,male,37.0,1,0,SC/AH 29037,26.0,S
595,0,3,male,36.0,1,1,345773,24.15,S
597,0,3,male,49.0,0,0,LINE,0.0,S
599,1,1,male,49.0,1,0,PC 17485,56.9292,C
600,1,2,female,24.0,2,1,243847,27.0,S
603,0,3,male,44.0,0,0,364511,8.05,S
604,1,1,male,35.0,0,0,111426,26.55,C
605,0,3,male,36.0,1,0,349910,15.55,S
606,0,3,male,30.0,0,0,349246,7.8958,S
607,1,1,male,27.0,0,0,113804,30.5,S
608,1,2,female,22.0,1,2,SC/Paris 2123,41.5792,C
609,1,1,female,40.0,0,0,PC 17582,153.4625,S
610,0,3,female,39.0,1,5,347082,31.275,S
614,0,3,male,35.0,0,0,364512,8.05,S
615,1,2,female,24.0,1,2,220845,65.0,S
616,0,3,male,34.0,1,1,347080,14.4,S
617,0,3,female,26.0,1,0,A/5. 3336,16.1,S
618,1,2,female,4.0,2,1,230136,39.0,S
619,0,2,male,26.0,0,0,31028,10.5,S
620,0,3,male,27.0,1,0,2659,14.4542,C
621,1,1,male,42.0,1,0,11753,52.5542,S
622,1,3,male,20.0,1,1,2653,15.7417,C
623,0,3,male,21.0,0,0,350029,7.8542,S
624,0,3,male,21.0,0,0,54636,16.1,S
625,0,1,male,61.0,0,0,36963,32.3208,S
626,0,2,male,57.0,0,0,219533,12.35,Q
627,1,1,female,21.0,0,0,13502,77.9583,S
628,0,3,male,26.0,0,0,349224,7.8958,S
630,1,1,male,80.0,0,0,27042,30.0,S
631,0,3,male,51.0,0,0,347743,7.0542,S
632,1,1,male,32.0,0,0,13214,30.5,C
634,0,3,female,9.0,3,2,347088,27.9,S
635,1,2,female,28.0,0,0,237668,13.0,S
636,0,3,male,32.0,0,0,STON/O 2. 3101292,7.925,S
637,0,2,male,31.0,1,1,C.A. 31921,26.25,S
638,0,3,female,41.0,0,5,3101295,39.6875,S
640,0,3,male,20.0,0,0,350050,7.8542,S
641,1,1,female,24.0,0,0,PC 17477,69.3,C
642,0,3,female,2.0,3,2,347088,27.9,S
644,1,3,female,0.75,2,1,2666,19.2583,C
645,1,1,male,48.0,1,0,PC 17572,76.7292,C
646,0,3,male,19.0,0,0,349231,7.8958,S
647,1,1,male,56.0,0,0,13213,35.5,C
649,1,3,female,23.0,0,0,CA. 2314,7.55,S
651,1,2,female,18.0,0,1,231919,23.0,S
652,0,3,male,21.0,0,0,8475,8.4333,S
654,0,3,female,18.0,0,0,365226,6.75,Q
655,0,2,male,24.0,2,0,S.O.C. 14879,73.5,S
657,0,3,female,32.0,1,1,364849,15.5,Q
658,0,2,male,23.0,0,0,29751,13.0,S
659,0,1,male,58.0,0,2,35273,113.275,C
660,1,1,male,50.0,2,0,PC 17611,133.65,S
661,0,3,male,40.0,0,0,2623,7.225,C
662,0,1,male,47.0,0,0,5727,25.5875,S
663,0,3,male,36.0,0,0,349210,7.4958,S
664,1,3,male,20.0,1,0,STON/O 2. 3101285,7.925,S
665,0,2,male,32.0,2,0,S.O.C. 14879,73.5,S
666,0,2,male,25.0,0,0,234686,13.0,S
668,0,3,male,43.0,0,0,A/5 3536,8.05,S
670,1,2,female,40.0,1,1,29750,39.0,S
671,0,1,male,31.0,1,0,F.C. 12750,52.0,S
672,0,2,male,70.0,0,0,C.A. 24580,10.5,S
673,1,2,male,31.0,0,0,244270,13.0,S
675,0,3,male,18.0,0,0,349912,7.775,S
676,0,3,male,24.5,0,0,342826,8.05,S
677,1,3,female,18.0,0,0,4138,9.8417,S
678,0,3,female,43.0,1,6,CA 2144,46.9,S
679,1,1,male,36.0,0,1,PC 17755,512.3292,C
681,1,1,male,27.0,0,0,PC 17572,76.7292,C
682,0,3,male,20.0,0,0,6563,9.225,S
683,0,3,male,14.0,5,2,CA 2144,46.9,S
684,0,2,male,60.0,1,1,29750,39.0,S
685,0,2,male,25.0,1,2,SC/Paris 2123,41.5792,C
686,0,3,male,14.0,4,1,3101295,39.6875,S
687,0,3,male,19.0,0,0,349228,10.1708,S
688,0,3,male,18.0,0,0,350036,7.7958,S
689,1,1,female,15.0,0,1,24160,211.3375,S
690,1,1,male,31.0,1,0,17474,57.0,S
691,1,3,female,4.0,0,1,349256,13.4167,C
693,0,3,male,25.0,0,0,2672,7.225,C
694,0,1,male,60.0,0,0,113800,26.55,S
695,0,2,male,52.0,0,0,248731,13.5,S
696,0,3,male,44.0,0,0,363592,8.05,S
698,0,1,male,49.0,1,1,17421,110.8833,C
699,0,3,male,42.0,0,0,348121,7.65,S
700,1,1,female,18.0,1,0,PC 17757,227.525,C
701,1,1,male,35.0,0,0,PC 17475,26.2875,S
702,0,3,female,18.0,0,1,2691,14.4542,C
703,0,3,male,25.0,0,0,36864,7.7417,Q
704,0,3,male,26.0,1,0,350025,7.8542,S
705,0,2,male,39.0,0,0,250655,26.0,S
706,1,2,female,45.0,0,0,223596,13.5,S
707,1,1,male,42.0,0,0,PC 17476,26.2875,S
708,1,1,female,22.0,0,0,113781,151.55,S
710,1,1,female,24.0,0,0,PC 17482,49.5042,C
712,1,1,male,48.0,1,0,19996,52.0,S
713,0,3,male,29.0,0,0,7545,9.4833,S
714,0,2,male,52.0,0,0,250647,13.0,S
715,0,3,male,19.0,0,0,348124,7.65,S
716,1,1,female,38.0,0,0,PC 17757,227.525,C
717,1,2,female,27.0,0,0,34218,10.5,S
719,0,3,male,33.0,0,0,347062,7.775,S
720,1,2,female,6.0,0,1,248727,33.0,S
721,0,3,male,17.0,1,0,350048,7.0542,S
722,0,2,male,34.0,0,0,12233,13.0,S
723,0,2,male,50.0,0,0,250643,13.0,S
724,1,1,male,27.0,1,0,113806,53.1,S
725,0,3,male,20.0,0,0,315094,8.6625,S
726,1,2,female,30.0,3,0,31027,21.0,S
728,0,2,male,25.0,1,0,236853,26.0,S
729,0,3,female,25.0,1,0,STON/O2. 3101271,7.925,S
730,1,1,female,29.0,0,0,24160,211.3375,S
731,0,3,male,11.0,0,0,2699,18.7875,C
733,0,2,male,23.0,0,0,28425,13.0,S
734,0,2,male,23.0,0,0,233639,13.0,S
735,0,3,male,28.5,0,0,54636,16.1,S
736,0,3,female,48.0,1,3,W./C. 6608,34.375,S
737,1,1,male,35.0,0,0,PC 17755,512.3292,C
741,0,1,male,36.0,1,0,19877,78.85,S
742,1,1,female,21.0,2,2,PC 17608,262.375,C
743,0,3,male,24.0,1,0,376566,16.1,S
744,1,3,male,31.0,0,0,STON/O 2. 3101288,7.925,S
745,0,1,male,70.0,1,1,WE/P 5735,71.0,S
746,0,3,male,16.0,1,1,C.A. 2673,20.25,S
747,1,2,female,30.0,0,0,250648,13.0,S
748,0,1,male,19.0,1,0,113773,53.1,S
749,0,3,male,31.0,0,0,335097,7.75,Q
750,1,2,female,4.0,1,1,29103,23.0,S
751,1,3,male,6.0,0,1,392096,12.475,S
752,0,3,male,33.0,0,0,345780,9.5,S
753,0,3,male,23.0,0,0,349204,7.8958,S
754,1,2,female,48.0,1,2,220845,65.0,S
755,1,2,male,0.67,1,1,250649,14.5,S
756,0,3,male,28.0,0,0,350042,7.7958,S
757,0,2,male,18.0,0,0,29108,11.5,S
758,0,3,male,34.0,0,0,363294,8.05,S
759,1,1,female,33.0,0,0,110152,86.5,S
761,0,3,male,41.0,0,0,SOTON/O2 3101272,7.125,S
762,1,3,male,20.0,0,0,2663,7.2292,C
763,1,1,female,36.0,1,2,113760,120.0,S
764,0,3,male,16.0,0,0,347074,7.775,S
765,1,1,female,51.0,1,0,13502,77.9583,S
767,0,3,female,30.5,0,0,364850,7.75,Q
769,0,3,male,32.0,0,0,8471,8.3625,S
770,0,3,male,24.0,0,0,345781,9.5,S
771,0,3,male,48.0,0,0,350047,7.8542,S
772,0,2,female,57.0,0,0,S.O./P.P. 3,10.5,S
774,1,2,female,54.0,1,3,29105,23.0,S
775,0,3,male,18.0,0,0,347078,7.75,S
777,1,3,female,5.0,0,0,364516,12.475,S
779,1,1,female,43.0,0,1,24160,211.3375,S
780,1,3,female,13.0,0,0,2687,7.2292,C
781,1,1,female,17.0,1,0,17474,57.0,S
782,0,1,male,29.0,0,0,113501,30.0,S
784,0,3,male,25.0,0,0,SOTON/O.Q. 3101312,7.05,S
785,0,3,male,25.0,0,0,374887,7.25,S
786,1,3,female,18.0,0,0,3101265,7.4958,S
787,0,3,male,8.0,4,1,382652,29.125,Q
788,1,3,male,1.0,1,2,C.A. 2315,20.575,S
789,0,1,male,46.0,0,0,PC 17593,79.2,C
791,0,2,male,16.0,0,0,239865,26.0,S
794,0,3,male,25.0,0,0,349203,7.8958,S
795,0,2,male,39.0,0,0,28213,13.0,S
796,1,1,female,49.0,0,0,17465,25.9292,S
797,1,3,female,31.0,0,0,349244,8.6833,S
798,0,3,male,30.0,0,0,2685,7.2292,C
799,0,3,female,30.0,1,1,345773,24.15,S
800,0,2,male,34.0,0,0,250647,13.0,S
801,1,2,female,31.0,1,1,C.A. 31921,26.25,S
802,1,1,male,11.0,1,2,113760,120.0,S
803,1,3,male,0.42,0,1,2625,8.5167,C
804,1,3,male,27.0,0,0,347089,6.975,S
805,0,3,male,31.0,0,0,347063,7.775,S
806,0,1,male,39.0,0,0,112050,0.0,S
807,0,3,female,18.0,0,0,347087,7.775,S
808,0,2,male,39.0,0,0,248723,13.0,S
809,1,1,female,33.0,1,0,113806,53.1,S
810,0,3,male,26.0,0,0,3474,7.8875,S
811,0,3,male,39.0,0,0,A/4 48871,24.15,S
812,0,2,male,35.0,0,0,28206,10.5,S
813,0,3,female,6.0,4,2,347082,31.275,S
814,0,3,male,30.5,0,0,364499,8.05,S
816,0,3,female,23.0,0,0,STON/O2. 3101290,7.925,S
817,0,2,male,31.0,1,1,S.C./PARIS 2079,37.0042,C
818,0,3,male,43.0,0,0,C 7075,6.45,S
819,0,3,male,10.0,3,2,347088,27.9,S
820,1,1,female,52.0,1,1,12749,93.5,S
821,1,3,male,27.0,0,0,315098,8.6625,S
822,0,1,male,38.0,0,0,19972,0.0,S
823,1,3,female,27.0,0,1,392096,12.475,S
824,0,3,male,2.0,4,1,3101295,39.6875,S
827,1,2,male,1.0,0,2,S.C./PARIS 2079,37.0042,C
829,1,1,female,62.0,0,0,113572,80.0,
830,1,3,female,15.0,1,0,2659,14.4542,C
831,1,2,male,0.83,1,1,29106,18.75,S
833,0,3,male,23.0,0,0,347468,7.8542,S
834,0,3,male,18.0,0,0,2223,8.3,S
835,1,1,female,39.0,1,1,PC 17756,83.1583,C
836,0,3,male,21.0,0,0,315097,8.6625,S
838,1,3,male,32.0,0,0,1601,56.4958,S
840,0,3,male,20.0,0,0,SOTON/O2 3101287,7.925,S
841,0,2,male,16.0,0,0,S.O./P.P. 3,10.5,S
842,1,1,female,30.0,0,0,113798,31.0,C
843,0,3,male,34.5,0,0,2683,6.4375,C
844,0,3,male,17.0,0,0,315090,8.6625,S
845,0,3,male,42.0,0,0,C.A. 5547,7.55,S
847,0,3,male,35.0,0,0,349213,7.8958,C
848,0,2,male,28.0,0,1,248727,33.0,S
850,0,3,male,4.0,4,2,347082,31.275,S
851,0,3,male,74.0,0,0,347060,7.775,S
852,0,3,female,9.0,1,1,2678,15.2458,C
853,1,1,female,16.0,0,1,PC 17592,39.4,S
854,0,2,female,44.0,1,0,244252,26.0,S
855,1,3,female,18.0,0,1,392091,9.35,S
856,1,1,female,45.0,1,1,36928,164.8667,S
857,1,1,male,51.0,0,0,113055,26.55,S
858,1,3,female,24.0,0,3,2666,19.2583,C
860,0,3,male,41.0,2,0,350026,14.1083,S
861,0,2,male,21.0,1,0,28134,11.5,S
862,1,1,female,48.0,0,0,17466,25.9292,S
864,0,2,male,24.0,0,0,233866,13.0,S
865,1,2,female,42.0,0,0,236852,13.0,S
866,1,2,female,27.0,1,0,SC/PARIS 2149,13.8583,C
867,0,1,male,31.0,0,0,PC 17590,50.4958,S
869,1,3,male,4.0,1,1,347742,11.1333,S
870,0,3,male,26.0,0,0,349248,7.8958,S
871,1,1,female,47.0,1,1,11751,52.5542,S
872,0,1,male,33.0,0,0,695,5.0,S
873,0,3,male,47.0,0,0,345765,9.0,S
874,1,2,female,28.0,1,0,P/PP 3381,24.0,C
875,1,3,female,15.0,0,0,2667,7.225,C
876,0,3,male,20.0,0,0,7534,9.8458,S
877,0,3,male,19.0,0,0,349212,7.8958,S
879,1,1,female,56.0,0,1,11767,83.1583,C
880,1,2,female,25.0,0,1,230433,26.0,S
881,0,3,male,33.0,0,0,349257,7.8958,S
882,0,3,female,22.0,0,0,7552,10.5167,S
883,0,2,male,28.0,0,0,C.A./SOTON 34068,10.5,S
884,0,3,male,25.0,0,0,SOTON/OQ 392076,7.05,S
885,0,3,female,39.0,0,5,382652,29.125,Q
886,0,2,male,27.0,0,0,211536,13.0,S
887,1,1,female,19.0,0,0,112053,30.0,S
889,1,1,male,26.0,0,0,111369,30.0,C
890,0,3,male,32.0,0,0,370376,7.75,Q
